id,label
1,"MILGRAM S"
2,"ZALAZNICK S"
3,"TRAVERS J"
4,"HART JW"
5,"SOFFER RS"
6,"KORTE C"
7,"WHITE HC"
8,"JACOBSON D"
9,"LEVINE JH"
10,"VIANNA NJ"
11,"HUNTER JE"
12,"GRIFFITH BC"
13,"MULLINS NC"
14,"GRANOVETTER MS"
15,"WHITE HC"
16,"CRAVEN P"
17,"KAPLAN J"
18,"VIANNA NJ"
19,"KILLWORTH PD"
20,"KORTE C"
21,"HUNTER JE"
22,"SEEMAN M"
23,"BOCHNER S"
24,"BOORMAN SA"
25,"ERICKSON BH"
26,"LUNDBERG CC"
27,"FIENBERG SE"
28,"KAHLER HD"
29,"SHULMAN N"
30,"WHITE HC"
31,"BOORMAN SA"
32,"GUIOT JM"
33,"BOCHNER S"
34,"BOCHNER S"
35,"BURT RS"
36,"DORKEN H"
37,"STONEHAM AKM"
38,"ANDREWS HF"
39,"FEIDELMAN L"
40,"CARTWRIGHT D"
41,"GUPTA UD"
42,"HORWITZ A"
43,"BURSTEIN P"
44,"CLARK FE"
45,"BURSTEIN P"
46,"ERICKSON BH"
47,"SOLOMON RC"
48,"STEIN P"
49,"STEIN P"
50,"BENNIS W"
51,"SMITH CJ"
52,"ARABIE P"
53,"HUNTER JE"
54,"DESOLAPOOL I"
55,"KILLWORTH PD"
56,"LIN N"
57,"GREENWALD P"
58,"FINE GA"
59,"COOK BP"
60,"GARFIELD E"
61,"BOCHNER S"
62,"[Anon] ."
63,"BECQUARTLECLERCQ J"
64,"KILLWORTH PD"
65,"BERNARD HR"
66,"DENMARK FL"
67,"BURT RS"
68,"LAFAYE C"
69,"SMITH TR"
70,"ALLERHAND J"
71,"RUSH R"
72,"NIEMOLLER K"
73,"HAMMER M"
74,"HAMMER M"
75,"FELD SL"
76,"[Anon] ."
77,"DARLEY JM"
78,"LESSEM D"
79,"[Anon] ."
80,"SZUCS JP"
81,"GOWEN B"
82,"BERNARD HR"
83,"MCPHERSON JM"
84,"HARTMANN H"
85,"BIRKEL RC"
86,"FAVIER J"
87,"MATHIEU R"
88,"SHIN EH"
89,"STAIGER RC"
90,"WEIMANN G"
91,"SOREK P"
92,"KILLWORTH PD"
93,"ZIEGLER R"
94,"WEIMANN G"
95,"SCHWARTZ JE"
96,"MORRISON B"
97,"BUCHEGGER I"
98,"MILNE WG"
99,"BANKS JR"
100,"AMRHEIN CG"
101,"IMHOF R"
102,"MANRIQUE JA"
103,"COX DW"
104,"ROSENBLATT R"
105,"TOWERS R"
106,"ROSENTHAL M"
107,"VERRIER J"
108,"KOCHEN M"
109,"KLOVDAHL AS"
110,"BEKER J"
111,"VARVARO A"
112,"LEVANDER M"
113,"MELVILLE J"
114,"MARSCHALL LA"
115,"ZUCKER LG"
116,"PRESTEMON JP"
117,"WEGENER B"
118,"KLAWANS S"
119,"ZELEVANSKY P"
120,"YOUNG P"
121,"HO E"
122,"FULLER WS"
123,"MIDDLETON S"
124,"BERNARD HR"
125,"ABRAMSON PR"
126,"SOKOLOV R"
127,"LAMANNA MA"
128,"LEADER Z"
129,"WOLF W"
130,"HINES C"
131,"BLAZETEMPLE D"
132,"ALTBACH PG"
133,"MEWS S"
134,"[Anon] ."
135,"ZUCKERMAN B"
136,"STEVENSON R"
137,"MARSDEN PV"
138,"JOHNSON K"
139,"HAGEN C"
140,"BORENSTEIN NS"
141,"HOLMES FM"
142,"SOMMER R"
143,"ALLEN BP"
144,"BERNARD HR"
145,"KILLWORTH PD"
146,"GHOSH A"
147,"SIMON HA"
148,"GILLY MC"
149,"CHATMAN EA"
150,"RITTENHOUSE RC"
151,"BOLZ DM"
152,"LISK I"
153,"BLASS T"
154,"MCPHERSON JM"
155,"THOMAS C"
156,"KERORGUEN YD"
157,"BORDLEY RF"
158,"TRINCA CE"
159,"SCHWARTZ MF"
160,"[Anon] ."
161,"FRENZEN J"
162,"WATSON S"
163,"WHITTALL A"
164,"DUNN CW"
165,"FOX K"
166,"STEVENSON WB"
167,"GALASKIEWICZ J"
168,"KUENZ J"
169,"PETERS B"
170,"PEARSON RH"
171,"ALLISON CB"
172,"LASKEY KB"
173,"WOODARD KL"
174,"BEAZLEY TM"
175,"PARMLEY WW"
176,"GEROME N"
177,"BANVILLE J"
178,"DIXON K"
179,"GRAEBER L"
180,"Leuthner S"
181,"Teeple G"
182,"Kahn JK"
183,"Dionne A"
184,"Rozwadowski HM"
185,"Lewis M"
186,"[Anon] ."
187,"WISCART JM"
188,"NORMAN RV"
189,"BOLTON K"
190,"Kautz H"
191,"Kolb MJ"
192,"Schweizer T"
193,"[Anon] ."
194,"Birnbaum L"
195,"Athineos D"
196,"Rogerson PA"
197,"Berlin E"
198,"Brownlee K"
199,"Rasmussen A"
200,"Kusa Z"
201,"Fararo TJ"
202,"Giuffre K"
203,"Merkle RC"
204,"Feld SL"
205,"[Anon] ."
206,"Ball SJ"
207,"Broglia RA"
208,"Gilbert B"
209,"Herzel H"
210,"Grayson T"
211,"Bouvet JP"
212,"Lewis BJ"
213,"Pendleton VEM"
214,"Collins JJ"
215,"Watts DJ"
216,"Lubkin GB"
217,"Mark N"
218,"[Anon] ."
219,"Postilli MJ"
220,"Samborn HV"
221,"Alger JR"
222,"Hunt IC"
223,"Watts DJ"
224,"Jussawalla F"
225,"Allan R"
226,"Mizell AP"
227,"Monasson R"
228,"Lubove S"
229,"Yang T"
230,"Woods M"
231,"Kluver J"
232,"Small H"
233,"McChesney RW"
234,"Marsan H"
235,"Wheeler MD"
236,"Barabasi AL"
237,"Kleczkowski A"
238,"Pandit SA"
239,"Newman MEJ"
240,"Barthelemy M"
241,"Barthelemy M"
242,"Campbell SK"
243,"Newman MEJ"
244,"Setness PA"
245,"Adamic LA"
246,"Barabasi AL"
247,"Giuffre K"
248,"Roberts RW"
249,"Driscoll JM"
250,"Scutchfield FD"
251,"Ames KM"
252,"Barrat A"
253,"Ahmed E"
254,"Ahmed E"
255,"Dorogovtsev SN"
256,"De Menezes MA"
257,"Dolan KA"
258,"Favier J"
259,"Comellas F"
260,"Jespersen S"
261,"Daves BR"
262,"Olivera F"
263,"Gitterman M"
264,"Bolton R"
265,"Newman MEJ"
266,"Schulhof J"
267,"Kerr L"
268,"Bennett P"
269,"Anderson SG"
270,"Clarke M"
271,"Albert R"
272,"Kleinberg JM"
273,"Fell DA"
274,"Allen MM"
275,"Barabasi AL"
276,"Marchiori M"
277,"Zhu CP"
278,"Kulkarni RV"
279,"Moore C"
280,"Jespersen S"
281,"Jespersen S"
282,"Gade PM"
283,"Moore C"
284,"Lago-Fernandez LF"
285,"Newman MEJ"
286,"Adams CS"
287,"Amaral LAN"
288,"Taylor PJ"
289,"Patterson AS"
290,"Morris S"
291,"Louch H"
292,"Goldstein JR"
293,"Carpenter M"
294,"Small H"
295,"Hansen WB"
296,"Des Jarlais DC"
297,"Sorenson O"
298,"Kogut B"
299,"Czarnecki JE"
300,"Mayer-Kress G"
301,"Martel P"
302,"Coles N"
303,"Slater ES"
304,"Lawton G"
305,"Sun K"
306,"Zastrow J"
307,"Moore A"
308,"Batty M"
309,"Manrubia SC"
310,"Scala A"
311,"Ozana M"
312,"Malone MS"
313,"Useem J"
314,"Yang XS"
315,"Tassier T"
316,"Elgazzar AS"
317,"Gurtovenko AA"
318,"Janssen MA"
319,"Sen P"
320,"Wuchty S"
321,"Albet R"
322,"Strogatz SH"
323,"Liljeros F"
324,"Bohland JW"
325,"Standing TH"
326,"Zhu CP"
327,"Abramson G"
328,"Pandit SA"
329,"Yang XS"
330,"Jasch F"
331,"Kullman L"
332,"Krapivsky PL"
333,"Newman MEJ"
334,"Bagnoli F"
335,"Cancho RFI"
336,"Kuperman M"
337,"Kim BJ"
338,"Lahtinen J"
339,"Pekalski A"
340,"Zanette DH"
341,"Zekri N"
342,"Jasch F"
343,"Kuperman M"
344,"Latora V"
345,"Newman MEJ"
346,"Wagner A"
347,"Cancho RFI"
348,"Bagnoli F"
349,"Gunsalus CK"
350,"Bjorneborn L"
351,"Moody J"
352,"Infante VD"
353,"Dorogovtsev SN"
354,"Borgman CL"
355,"Krajnc B"
356,"Yang XS"
357,"Green B"
358,"Zhang H"
359,"Bernardes AT"
360,"Kuperman M"
361,"Raghavan P"
362,"Wang XF"
363,"Ahmed E"
364,"Jenkinson HF"
365,"Haigh MJ"
366,"Blumen A"
367,"Watson JD"
368,"Montoya JM"
369,"Hepfer W"
370,"[Anon] ."
371,"Newport JP"
372,"Hansen MT"
373,"Elgazzar AS"
374,"de Arcangelis L"
375,"Zanette DH"
376,"Newman MEJ"
377,"Cosenza MG"
378,"Lopez L"
379,"Hong H"
380,"Svenson P"
381,"Kim BJ"
382,"Zanette DH"
383,"Karimipour V"
384,"Gao Z"
385,"Davidsen J"
386,"Sanchez AD"
387,"Almaas E"
388,"Gwynne P"
389,"Newman MEJ"
390,"Girvan M"
391,"Albert R"
392,"Watts DJ"
393,"Kadushin C"
394,"McCue B"
395,"Kleinfeld JS"
396,"[Anon] ."